landon@el304b:~/cex_permute$ make; make test; prism -importmodel buildModel.tra,sta,lab -ctmc scripts/pro.csl
(javac -classpath "/usr/local/prism-src/prism/classes:/usr/local/prism-src/prism/lib/*:/usr/local/prism-src/prism/prism/classes:/usr/local/prism-src/prism/prism/lib/*" -d classes src/./BuildModel.java)
PRISM_DIR=/usr/local/prism-src/prism PRISM_MAINCLASS=simulate.BuildModel bin/run
bin/run: 21: [[: not found
Welcome to the model commutation tool.
Prism model loaded succesfully.
Processed 5700 paths with a state count of 5573
Processed 5710 paths with a state count of 5573
Processed 5720 paths with a state count of 5573
Processed 5730 paths with a state count of 5573
Processed 5740 paths with a state count of 5573
Processed 5750 paths with a state count of 5573
Processed 5760 paths with a state count of 5573
Processed 5770 paths with a state count of 5573
Processed 5780 paths with a state count of 5573
Processed 5790 paths with a state count of 5573
Processed 5800 paths with a state count of 5573
Processed 5810 paths with a state count of 5573
Processed 5820 paths with a state count of 5573
Processed 5830 paths with a state count of 5573
Processed 5840 paths with a state count of 5573
Processed 5850 paths with a state count of 5573
Processed 5860 paths with a state count of 5573
Processed 5870 paths with a state count of 5573
Processed 5880 paths with a state count of 5573
Processed 5890 paths with a state count of 5573
Processed 5900 paths with a state count of 5573
Processed 5910 paths with a state count of 5573
Processed 5920 paths with a state count of 5573
Processed 5930 paths with a state count of 5573
Processed 5940 paths with a state count of 5573
Processed 5950 paths with a state count of 5573
Processed 5960 paths with a state count of 5573
Processed 5970 paths with a state count of 5573
Processed 5980 paths with a state count of 5573
Processed 5990 paths with a state count of 5573
Processed 6000 paths with a state count of 5573
Processed 6010 paths with a state count of 5573
Processed 6020 paths with a state count of 5573
Processed 6030 paths with a state count of 5573
Processed 6040 paths with a state count of 5573
Processed 6050 paths with a state count of 5573
Processed 6060 paths with a state count of 5573
Processed 6070 paths with a state count of 5573
Processed 6080 paths with a state count of 5573
Processed 6090 paths with a state count of 5573
Processed 6100 paths with a state count of 5573
Processed 6110 paths with a state count of 5573
Processed 6120 paths with a state count of 5573
Processed 6130 paths with a state count of 5573
Processed 6140 paths with a state count of 5573
Processed 6150 paths with a state count of 5573
Processed 6160 paths with a state count of 5573
Processed 6170 paths with a state count of 5573
Processed 6180 paths with a state count of 5573
Processed 6190 paths with a state count of 5573
Processed 6200 paths with a state count of 5573
Processed 6210 paths with a state count of 5573
Processed 6220 paths with a state count of 5573
Processed 6230 paths with a state count of 5573
Processed 6240 paths with a state count of 5573
Processed 6250 paths with a state count of 5573
Processed 6260 paths with a state count of 5573
Processed 6270 paths with a state count of 5573
Processed 6280 paths with a state count of 5573
Processed 6290 paths with a state count of 5573
Processed 6300 paths with a state count of 5573
Processed 6310 paths with a state count of 5573
Processed 6320 paths with a state count of 5573
Processed 6330 paths with a state count of 5573
Processed 6340 paths with a state count of 5573
Processed 6350 paths with a state count of 5573
Processed 6360 paths with a state count of 5573
Processed 6370 paths with a state count of 5573
Processed 6380 paths with a state count of 5573
Processed 6390 paths with a state count of 5573
Processed 6400 paths with a state count of 5573
Processed 6410 paths with a state count of 5573
Processed 6420 paths with a state count of 5573
Processed 6430 paths with a state count of 5573
Processed 6440 paths with a state count of 5573
Processed 6450 paths with a state count of 5573
Processed 6460 paths with a state count of 5573
Processed 6470 paths with a state count of 5573
Processed 6480 paths with a state count of 5573
Processed 6490 paths with a state count of 5573
Processed 6500 paths with a state count of 5573
Processed 6510 paths with a state count of 5573
Processed 6520 paths with a state count of 5573
Processed 6530 paths with a state count of 5573
Processed 6540 paths with a state count of 5573
Processed 6550 paths with a state count of 5573
Processed 6560 paths with a state count of 5573
Processed 6570 paths with a state count of 5573
Processed 6580 paths with a state count of 5573
Processed 6590 paths with a state count of 5573
Processed 6600 paths with a state count of 5573
Processed 6610 paths with a state count of 5573
Processed 6620 paths with a state count of 5573
Processed 6630 paths with a state count of 5573
Processed 6640 paths with a state count of 5573
Processed 6650 paths with a state count of 5573
Processed 6660 paths with a state count of 5573
Processed 6670 paths with a state count of 5573
Processed 6680 paths with a state count of 5573
Processed 6690 paths with a state count of 5573
Processed 6700 paths with a state count of 5573
Processed 6710 paths with a state count of 5573
Processed 6720 paths with a state count of 5573
Processed 6730 paths with a state count of 5573
Processed 6740 paths with a state count of 5573
Processed 6750 paths with a state count of 5588
Processed 6760 paths with a state count of 5588
Processed 6770 paths with a state count of 5588
Processed 6780 paths with a state count of 5588
Processed 6790 paths with a state count of 5588
Processed 6800 paths with a state count of 5588
Processed 6810 paths with a state count of 5588
Processed 6820 paths with a state count of 5588
Processed 6830 paths with a state count of 5588
Processed 6840 paths with a state count of 5588
Processed 6850 paths with a state count of 5588
Processed 6860 paths with a state count of 5588
Processed 6870 paths with a state count of 5588
Processed 6880 paths with a state count of 5588
Processed 6890 paths with a state count of 5588
Processed 6900 paths with a state count of 5588
Processed 6910 paths with a state count of 5588
Processed 6920 paths with a state count of 5588
Processed 6930 paths with a state count of 5588
Processed 6940 paths with a state count of 5588
Processed 6950 paths with a state count of 5588
Processed 6960 paths with a state count of 5588
Processed 6970 paths with a state count of 5588
Processed 6980 paths with a state count of 5588
Processed 6990 paths with a state count of 5588
Processed 7000 paths with a state count of 5588
Processed 7010 paths with a state count of 5927
Processed 7020 paths with a state count of 5967
Processed 7030 paths with a state count of 5995
Processed 7040 paths with a state count of 6053
Processed 7050 paths with a state count of 6077
Processed 7060 paths with a state count of 6077
Processed 7070 paths with a state count of 6077
Processed 7080 paths with a state count of 6077
Processed 7090 paths with a state count of 6077
Processed 7100 paths with a state count of 6077
Processed 7110 paths with a state count of 6134
Processed 7120 paths with a state count of 6147
Processed 7130 paths with a state count of 6154
